name,link,price,subtitle,highlight,price-indicator,seller-info,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203183681175,£16000,2.0 TDI GT 5dr DSG,Glass Sunroof!,Good price,Marshall Vauxhall Ipswich,20199,148,Automatic,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201101201131,£18189,2.0 GTD DSG 5d 182 BHP,PRO NAV ULEZ FREE,Lower price,Flexy Cars Ltd,28335,181,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf Hatchback,https://www.autotrader.co.uk/car-details/202204144646046,£12995,1.4 TSI 125 Match Edition 5dr,SAT NAV/FRONT & REAR SENSORS,Good price,Marshall Toyota Bristol South,39424,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203294079260,£14999,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,FULL VW HISTORY/NAV/DAB/AUTO,Great price,JK Motors,20000,123,Automatic,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202109087131840,£19995,2.0 TSI BlueMotion Tech R 4Motion (s/s) 5dr,FIND US AT STEVENAGECARS.COM,Good price,Stevenage Cars,36000,296,Manual,Petrol,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202232871678,£15489,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,FULL HISTORY+SATNAV+LOW MILAGE,Lower price,Smart Wheel Motors,8000,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201231667083,£14750,1.4 TSI BlueMotion Tech Match Edition (s/s) 5dr,**VERY LOW MILEAGE**,Great price,David Brothers Car Sales,10000,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203263983458,£11979,Golf TDI BlueMotion Tech Match Edition Hatchback 1.6 Manual Diesel 5dr,Free Tax + Sat Nav,Lower price,Premier Car Supermarket,31700,108,Manual,Diesel,3,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201241724780,£19500,2.0 TDI BlueMotion Tech GTD DSG 5dr,ABSOLUTELY MASSIVE SPEC 1OWNER,Good price,Mirador Motors Ltd,37000,181,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204084458390,£14895,2.0 TDI Match Edition 150PS DSG 5Dr,Low Miles,Good price,Beadles Volkswagen Dartford,29186,148,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202283031144,£16000,1.4 GT TSI BLUEMOTION TECHNOLOGY DSG 5d 148 BHP,NAV DSG PETROL,Good price,Croxley Car Centre,31061,148,Automatic,Petrol,,Estate,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204014198101,£16490,1.4 TSI 125 Match Edition 5dr DSG,* 2 Year Warranty *,Good price,Marshall Volkswagen St Albans,21247,123,Automatic,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201101206048,£15985,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,Low Miles+Full History,Lower price,Bedfordshire Car Market,6584,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204074411522,£15999,2.0 TDI R-Line Edition 5dr [Panoramic Roof],Panoramic Roof | DAB Radio,Good price,Fords Of Winsford Car Supermarket,38430,148,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203233876251,£15788,1.4 TSI BLUEMOTION TECH MATCH 5DR DSG AUTOMATIC,1 OWNER-F/S/H- PARKING SENSORS,Good price,Mja Walton,20188,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204134626400,£17094,1.6 GT EDITION TDI BLUEMOTION TECHNOLOGY DSG 5d 109 BHP,,Good price,Essex Car Company,19238,108,Automatic,Diesel,,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203023102325,£18495,GTI MODA DSG 2.0 5dr,LOW MILEAGE GTI,Fair price,JT Hughes Telford Honda,27040,217,Automatic,Petrol,3,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204164724764,£16125,2L GT Edition BlueMotion Tech TDI 5dr,Buy online. Home delivery,Fair price,Cazoo,31352,148,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111019125359,£18295,2.0 TDI GTD 5dr DSG [Nav],Inc. 12 month warranty,Lower price,Priests Of Chesham Ltd,29925,181,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201241715603,£15300,1.4 TSI BlueMotion Tech ACT GT DSG (s/s) 5dr,12 MONTHS WARRANTY! HUGE SPEC,Great price,WEST LONDON MOTORS LTD,32413,148,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204054331872,£13500,1.4 TSI 125 Match Edition 5dr,**2 YEARS WARRANTY**,Good price,Marshall Volkswagen Letchworth,37272,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201141350345,£20000,2.0 TSI BlueMotion Tech GTI (Performance pack) (s/s) 5dr,FULL LEATHER-PAN ROOF-DYNAUDIO,Good price,Corner House Garage,30600,227,Manual,Petrol,4,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204094477498,£18494,2.0 TSI BlueMotion Tech GTI (Performance pack) (s/s) 5dr,"19""ALLOYS-SAT NAV",Good price,Tt Sports & Prestige Cars,37000,227,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203294080389,£12995,1.4 MATCH EDITION TSI BMT 5d 124 BHP SATELLITE NAVIGATION,LOW MILEAGE!,Good price,Kiteley Motors,40000,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111089353123,£17250,GTD DSG 2.0 3dr,Finance & Warranty Available,Lower price,Wood Motor Company Ltd,37000,181,Automatic,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204044297705,£11689,1.6 TDI BlueMotion Tech Match Hatchback 5dr Diesel Manual (s/s) (99 g/km 108 bhp),ACTIVE CRUISE SAT NAV DAB,Good price,Gold Cars Ltd,38822,108,Manual,Diesel,4,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202110258876760,£13450,1.4 MATCH EDITION TSI BMT 5d 124 BHP,CLICK & COLLECT/HOME DELIVERY,Great price,Hilton Garage Ltd,31179,124,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204044278489,£16450,2.0 GTD 5d 181 BHP,+ LOW MILEAGE + GOOD SPEC +,Lower price,Alan Tully Cars,37000,181,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203253961917,£19495,2.0 TSI BlueMotion Tech R 4Motion (s/s) 5dr,FSH+LOW MILES,Lower price,Earlsdon Motor Company Ltd,27000,296,Manual,Petrol,3,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203013068500,£17690,1.4 TSI 150 R-Line Edition 5dr,R-Line Edition Very Rare Car,Fair price,Marshall Volkswagen Letchworth,23599,148,Manual,Petrol,4,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204144669467,£12157,1.6 TDI BlueMotion (s/s) 5dr,BLUETOOTH • DAB,Good price,Carbase.co.uk,33455,108,Manual,Diesel,,Estate,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203033133741,£17900,2L GTD BlueMotion Tech TDI 5dr,Buy online. Home delivery,Great price,Cazoo,24373,181,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203093389388,£16698,2.0 TDI GTD [Nav] 5dr,BLUETOOTH | HEATED SEATS,Good price,CarSupermarket.com Click & Collect,38576,181,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202109187505972,£15900,1.4 TSi (150PS) BlueMotion TECH GT DSG Automatic 5dr ESTATE***LOW MILES***,*** STUNNING GOLF ***,Lower price,Motors Of Coalville Ltd,19950,148,Automatic,Petrol,,Estate,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202273000708,£14250,2.0 TDI BlueMotion Tech R-Line Edition (s/s) 5dr,,,Private seller,38200,148,Manual,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202242921495,£14600,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,Low Mileage Sat Nav,Good price,ADT Cars,34210,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203103412340,£17990,2.0 TDI BlueMotion Tech GTD 5dr,GREAT SPEC RECENT SERVICE,Good price,Stratus,30000,181,Manual,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202112060269427,£17200,2.0 TSI BlueMotion Tech R 4Motion (s/s) 5dr,LOW MILEAGE/DCC/ACC/MORE,,Private seller,36000,296,Manual,Petrol,3,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111109426471,£15000,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,Extremely low mileage !,,Private seller,3000,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203243918410,£16750,2.0 TDI R-Line Edition 3dr Satellite Navigation,Sunroof | Sat Nav | Privacy,Good price,CarShop Sheffield,27867,148,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203304101971,£15998,2.0 TDI R-Line Edition 5dr,CLICK&COLLECT | FREE DELIVERY,Good price,CarSupermarket.com Click & Collect,35447,148,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203203750812,£14942,1.4 TSI Match Edition 125PS DSG 5Dr,** Low Mile Auto **,Great price,Read Hyundai Kings Lynn,27621,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203123473832,£15850,1.4L GT Edition BlueMotion Tech TSI 5dr,Buy online. Home delivery,Good price,Cazoo,30206,148,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204114526987,£16999,2.0 TDI BlueMotion Tech GTD 5dr,NAV+HEATED/SEATS+PARK/PILOT,Lower price,Motorsave Direct Ltd,25152,181,Manual,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202283039764,£13025,1.4L Match Edition BlueMotion Tech TSI 5dr,Buy online. Home delivery,Great price,Cazoo,39180,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203073304727,£15995,2.0 TDI BlueMotion Tech GTD 5dr,Nav Keyless F/S/History,Lower price,Furness Rigby,40000,181,Manual,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203263976719,£15500,1.4 5dr,1 OWNER  REVERSE CAMERA,,Modena Automotive Ltd,34500,,Automatic,Petrol,,Hatchback,,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201141366710,£14000,2.0 TDI GT 5dr Satellite Navigation,Collect at your local CarShop,Good price,CarShop Wakefield,34286,148,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203013080846,£19990,2.0 TSI BlueMotion Tech GTI DSG (s/s) 5dr,SAT NAV |KEYLESS | LOW MILEAGE,Lower price,Whites Cars,27000,217,Automatic,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202092345447,£18200,2.0 TSI BlueMotion Tech GTI (s/s) 5dr,PARKING SENSORS SVC HISTORY,Great price,V12 Sports & Classics Ltd - Hinckley,35140,217,Manual,Petrol,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204114527074,£18000,1.4 TSI 150 GT Edition 5dr DSG,,Good price,Marshall Volkswagen Milton Keynes,29340,148,Automatic,Petrol,3,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203273994171,£17998,2.0 TSI GTI [Nav] 3dr,HEATED SEATS | PARKING SENSORS,,CarSupermarket.com Click & Collect,21333,,Manual,Petrol,,Hatchback,,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204054316318,£18990,2.0 GTI LAUNCH 3d 218 BHP,1 OWNER | SAT NAV | LEATHER |,Good price,Carworld Car Supermarket,25324,217,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203183704201,£14990,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,1 OWNER CARMAiN DEALER SERVIC,Fair price,A PLUS MOTORS,36000,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204144665027,£14295,1.6 TDI Match Edition 110PS 5Dr,,Good price,Beadles Volkswagen Romford,22000,108,Manual,Diesel,2,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203263973888,£16995,2.0 TDI BlueMotion Tech GTD DSG 5dr,6.9 APR FINANCE AVAILABLE,Lower price,Clear Car Group LTD,33000,181,Automatic,Diesel,4,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201131312887,£18500,GTI LAUNCH 2.0 3dr,Buy & Finance Online,Lower price,Carzam,21079,217,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203043193124,£13250,1.4 MATCH EDITION TSI BMT 5d 124 BHP. SAT NAV-HEATED SEATS-A/C BLUETOOTH-DAB-CRUISE; SAT NAV-AIR CON-PARKING SENSORS-DAB,SERVICE HISTORY-4 VW STAMPS,Good price,Autotrade (Birmingham) Ltd,40000,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202110118354180,£18298,2.0 TSI BlueMotion Tech GTI 3dr,19in ALLOYS HEATED STS NAV,Good price,Sandles Car Supermarket,37100,217,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203273997567,£13495,1.4 TSI BlueMotion Tech ACT GT (s/s) 5dr,,,Private seller,25000,148,Manual,Petrol,,Hatchback,,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203023092486,£12995,1.0 TSI Match BlueMotion 5dr,Composition media system DAB,Lower price,Stoneacre Suzuki,36415,113,Automatic,Petrol,,Hatchback,ULEZ,1.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202112432221,£18695,1.4 GT EDITION TSI ACT BMT DSG 5d 148 BHP FREE DELIVERY WITHIN 100 MILES,SAT NAV FRONT/REAR PDC ACC,Good price,Trade Price Cars,12681,148,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203103413036,£14995,MATCH EDITION TSI DSG BMT 1.4 5dr,,Good price,M J Wearing Limited,29133,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203213789005,£14725,1.6L GT Edition BlueMotion Tech TDI 5dr,Buy online. Home delivery,Good price,Cazoo,34572,108,Manual,Diesel,,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202242895283,£18495,2.0 TSI BlueMotion Tech GTI (s/s) 5dr,HEATED SEATS|KEYLESS ENTRY+GO,Good price,The German Car Group,35368,217,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203173655128,£20000,2.0 TSI R 5dr Bluetooth,Collect at your local CarShop,Good price,CarShop Doncaster,38000,296,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201261788066,£20000,2.0 GTI PERFORMANCE DSG 5d 226 BHP EXCELLENT CONDITION,FULL VW SERVICE HISTORY,Good price,Savannah,37023,227,Automatic,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202082293025,£18299,Golf Gtd S-A 2.0 5dr,KEYLESS ENTRY+FOLDING MIRRORS,Great price,Thurlow Nunn Milton Keynes,27812,181,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204164729289,£17200,2.0 TDI BlueMotion Tech GTD 5dr,Low mileage! Great condition!,,Private seller,35500,181,Manual,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203223830072,£15920,2.0 TDI GTD 5dr,Sat Nav Bluetooth DSG,Lower price,Car Store Shrewsbury,39882,181,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111069304691,£17990,2.0 TDI BlueMotion Tech GTD DSG 3dr,++ VERY LOW MILEAGE ++ 1 OWNER,Lower price,Safeway Car Sales,17682,181,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203243923712,£18999,R LINE EDITION TDI BMT DSG 2.0 5dr,Full VW history £30 tax,Fair price,EMG Motor Group Cambridge Kia and Mazda,22105,148,Automatic,Diesel,2,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111229831049,£15898,1.4 TSI BlueMotion Tech ACT R-Line Edition (s/s) 3dr,SAT NAV PARKING CAM PANOROOF,Great price,Sandles Car Supermarket,37600,148,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202262961717,£12498,1.4 TSI 125 S DSG 5dr,BLUETOOTH | DAB RADIO,Good price,CarSupermarket.com Click & Collect,38294,123,Automatic,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203103420601,£18694,1.4 TSI GTE HATCHBACK 5DR PETROL PLUG-IN HYBRID DSG AUTO BLUETOOTH WITH MUSIC STREAMING DAB ADAPTIVE CRUISE PARKING AIDS 40000 MILES £0 FREE ROAD TAX,ONLY 40000 MILES FROM NEW!!!,Good price,McCarthy Cars,40000,148,Automatic,Petrol Plug-in Hybrid,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203173655077,£12750,1.4 TSI 125 Match Edition 3dr Satellite Navigation,Collect at your local CarShop,Lower price,CarShop Doncaster,33046,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204154691431,£12458,1.4 MATCH EDITION TSI BMT 5d 124 BHP,SAT NAV WINTER PACK,Lower price,Stebbings Car Superstore Kings Lynn,38000,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203253949006,£18470,1.4 TSI 150 GT Edition 5dr DSG,***LOW MILEAGE GREAT SPEC***,Good price,Johnsons Volkswagen Birmingham,18578,148,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203073272361,£13700,1.6L SE BlueMotion Tech TDI 5dr,Buy online. Home delivery,Good price,Cazoo,35791,108,Automatic,Diesel,,Estate,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204034265458,£13900,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,HEATED SEATS/LOW MILES/SATNAV,,Private seller,30600,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204154682032,£14500,1.6 TDI 110 GT Edition 5dr Satellite Navigation,Collect at your local CarShop,Great price,CarShop Cardiff,34237,108,Manual,Diesel,,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204134637801,£14499,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,Full Service History,,Private seller,37000,123,Automatic,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202110128392534,£17020,Volkswagen Golf 2.0 TSI BlueMotion Tech GTI (s/s) 3dr Launch control edition,LAUNCH CONTROL+LEATHER+SENSORS,Lower price,Chorley Group Nissan Wigan,38077,217,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203253947769,£12995,GTI Estate 2.0,only 971 miles yes 971 miles,,Angel Motor Company,971,,Automatic,Petrol,,,,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203143552661,£15250,1.0 TSI Match BlueMotion Edition 5dr DSG Bluetooth,Collect at your local CarShop,Good price,CarShop Manchester,28559,113,Automatic,Petrol,,Hatchback,ULEZ,1.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202152567349,£15666,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,£30 ROAD TAX ULEZ FRIENDLY,Great price,Kams,19800,123,Automatic,Petrol,3,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203143543767,£15299,1.4 TSI BlueMotion Tech ACT GT Edition (s/s) 5dr,SAT nav +heated seats+SUNROOF,Good price,Ideal Trade Centre,37097,148,Manual,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203193733535,£17750,2.0 TDI BlueMotion Tech GTD DSG 5dr,FSH Sat Nav Cruise B'tooth,Great price,Crossroads Garage Ltd,40000,181,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202242906745,£15699,1.4 TSI 125 Match Edition 5dr DSG [Winter Pack],DAB | Adaptive Cruise Control,Good price,Fords Of Winsford Car Supermarket,19450,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111059259016,£16999,2.0 TDI BlueMotion Tech R-Line (s/s) 3dr,LEATHER+PANROOF+NAV,Great price,Motorsave Direct Ltd,31646,148,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202112130474242,£14925,1.4 TSI BlueMotion Tech Match Edition DSG (s/s) 5dr,NAV+CRUISE+H/SEATS+P/SENSORS,Great price,First4car.com - Trading Standards Approved Dealership,19993,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
